13080,40,20,60,0,0,90,20,260,0,20,0,0,10,0,120,0,0
10,6120,20,0,0,0,0,10,70,20,10,0,0,0,0,40,0,20
0,10,10770,0,10,20,20,10,0,0,0,0,0,0,40,10,0,10
30,0,0,84160,0,0,270,0,10,0,50,0,0,0,0,20,190,0
0,0,0,0,9400,0,30,10,0,0,10,0,0,0,0,0,0,0
0,0,100,0,40,570,30,30,0,0,0,0,0,0,0,20,0,10
120,10,40,210,230,0,7880,200,10,20,70,0,0,40,20,0,50,0
200,30,20,0,20,10,220,23430,40,0,0,0,0,20,10,190,0,0
180,0,50,20,0,0,120,30,19750,70,10,30,0,20,0,10,10,0
20,10,0,40,0,0,50,0,10,21310,40,0,0,0,0,240,0,0
10,20,0,40,0,0,100,0,50,30,4880,10,0,0,0,0,20,0
0,10,40,0,0,10,20,0,30,20,20,430,0,0,20,10,0,0
0,0,0,20,0,0,0,0,0,0,0,0,2390,0,0,0,0,20
20,0,0,0,0,0,0,70,30,0,0,10,0,900,0,0,0,0
0,0,30,0,0,0,0,30,0,0,0,0,0,0,2480,0,0,0
0,20,50,0,0,0,0,100,40,70,10,0,0,0,80,16790,0,0
0,0,0,390,0,0,350,20,190,0,20,0,0,0,0,10,2110,0
10,30,10,0,0,0,0,20,50,0,0,0,0,0,30,10,0,2360
