6930,0,0,0,0,0,40,20,30,0,0,10,0,0,0,20,0,0
0,2940,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10
0,0,5610,0,10,20,30,0,0,0,0,0,0,0,20,10,0,20
0,0,0,40860,0,0,120,0,0,0,0,0,0,0,0,0,70,0
10,0,0,0,4490,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,0,0,250,20,10,0,0,0,10,0,0,0,0,0,0
0,0,0,80,60,0,4440,50,0,0,0,10,0,10,0,0,0,0
90,0,0,0,0,10,10,12380,0,0,10,0,0,0,0,50,0,0
130,0,0,0,0,0,20,20,9660,10,0,30,0,20,0,10,10,30
10,10,0,0,0,0,10,10,0,11320,20,0,0,0,0,90,0,0
0,0,0,0,0,0,20,10,30,10,2720,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,10
0,0,0,0,0,0,0,20,20,0,0,0,0,460,0,0,0,0
0,0,10,0,10,0,0,0,0,0,0,0,0,0,1250,0,0,0
0,0,10,10,0,0,0,30,0,0,0,0,0,0,0,8140,0,0
0,0,0,270,0,0,220,0,100,0,10,0,0,0,0,0,1020,0
0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,1380
