Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,F1 Score,Precision,Recall,Class 0 F1 Score,Class 0 Precision,Class 0 Recall,Class 1 F1 Score,Class 1 Precision,Class 1 Recall,Class 2 F1 Score,Class 2 Precision,Class 2 Recall,Class 3 F1 Score,Class 3 Precision,Class 3 Recall,Class 4 F1 Score,Class 4 Precision,Class 4 Recall,Class 5 F1 Score,Class 5 Precision,Class 5 Recall,Class 6 F1 Score,Class 6 Precision,Class 6 Recall,Class 7 F1 Score,Class 7 Precision,Class 7 Recall,Class 8 F1 Score,Class 8 Precision,Class 8 Recall,Class 9 F1 Score,Class 9 Precision,Class 9 Recall,Class 10 F1 Score,Class 10 Precision,Class 10 Recall,Class 11 F1 Score,Class 11 Precision,Class 11 Recall,Class 12 F1 Score,Class 12 Precision,Class 12 Recall,Class 13 F1 Score,Class 13 Precision,Class 13 Recall,Class 14 F1 Score,Class 14 Precision,Class 14 Recall,Class 15 F1 Score,Class 15 Precision,Class 15 Recall,Class 16 F1 Score,Class 16 Precision,Class 16 Recall,Class 17 F1 Score,Class 17 Precision,Class 17 Recall
10,92.99146455,94.86352252,0.000857393,0.000652992,0.864570207,0.872783392,0.867491764,0.918715847,0.910629655,0.926946933,0.943716268,0.963779528,0.924471299,0.9527897,0.935130581,0.971128609,0.991475727,0.99805258,0.984984985,0.961658031,0.947906027,0.975814932,0.512396694,0.794871795,0.37804878,0.77875073,0.803614458,0.755379388,0.964630225,0.960717336,0.968575118,0.936352201,0.939424533,0.9332999,0.965710287,0.975954738,0.95567867,0.902815622,0.893884892,0.911926606,0.644444444,0.630434783,0.659090909,0.991334489,0.993055556,0.989619377,0.742857143,0.674074074,0.827272727,0.902985075,0.916666667,0.889705882,0.947160215,0.936836221,0.957714286,0.616874136,0.533492823,0.731147541,0.887596899,0.901574803,0.874045802
11,93.26739294,95.16491913,0.00083052,0.00063595,0.873929535,0.890821537,0.866904292,0.915654287,0.922377622,0.909028256,0.948081264,0.944527736,0.951661631,0.957586358,0.957167832,0.958005249,0.991893527,0.999146862,0.984744745,0.962051282,0.938938939,0.986330179,0.553191489,0.661016949,0.475609756,0.785973398,0.84306096,0.73612684,0.9625323,0.962947006,0.962117951,0.939896117,0.927281601,0.952858576,0.970473793,0.962324103,0.978762696,0.909569798,0.872053872,0.950458716,0.666666667,0.806451613,0.568181818,0.98791019,0.986206897,0.989619377,0.77486911,0.913580247,0.672727273,0.910071942,0.89084507,0.930147059,0.956546598,0.957093822,0.956,0.655172414,0.550111359,0.809836066,0.882591093,0.939655172,0.832061069
12,93.37245581,95.02058836,0.000803385,0.000663246,0.863231634,0.899269886,0.853107545,0.928965517,0.929606625,0.928325293,0.950233281,0.979166667,0.922960725,0.945423292,0.929054054,0.962379703,0.990724009,0.993596714,0.987867868,0.961105425,0.936191426,0.987381703,0.411214953,0.88,0.268292683,0.772002059,0.70754717,0.849377123,0.963714903,0.967056784,0.96039604,0.941964286,0.931795878,0.952357071,0.969935245,0.971733086,0.968144044,0.882661996,0.844221106,0.924770642,0.697674419,0.714285714,0.681818182,0.987993139,0.979591837,0.996539792,0.801801802,0.794642857,0.809090909,0.854578097,0.835087719,0.875,0.953265602,0.968731563,0.938285714,0.632911392,0.887573964,0.491803279,0.892,0.93697479,0.851145038
13,93.4860157,94.19705395,0.000777299,0.000691427,0.849720503,0.893150064,0.826083044,0.902801799,0.90625,0.899379738,0.946727549,0.95398773,0.939577039,0.947277442,0.935952178,0.95888014,0.988169216,0.983117346,0.993273273,0.903296703,0.945914845,0.864353312,0.48,0.697674419,0.365853659,0.702617801,0.653359299,0.7599094,0.957264957,0.950360628,0.96427034,0.939871858,0.923934109,0.956369107,0.971665515,0.969655172,0.973684211,0.914553991,0.936538462,0.893577982,0.674418605,0.69047619,0.659090909,0.977777778,0.966216216,0.989619377,0.736842105,0.875,0.636363636,0.859344894,0.902834008,0.819852941,0.949506347,0.937604457,0.961714286,0.568848758,0.913043478,0.413114754,0.87398374,0.934782609,0.820610687
14,93.62822072,94.68098654,0.000764334,0.00071088,0.871717453,0.883107552,0.866537921,0.927983539,0.923549488,0.932460372,0.94354215,0.966719493,0.921450151,0.957549234,0.957968476,0.957130359,0.98879788,0.991544873,0.986066066,0.965306122,0.937561943,0.994742376,0.621621622,0.696969697,0.56097561,0.742415885,0.723655914,0.762174405,0.962373683,0.961340206,0.963409384,0.941817282,0.93007335,0.953861585,0.965404395,0.977746212,0.953370268,0.828774063,0.925339367,0.750458716,0.635294118,0.658536585,0.613636364,0.987783595,0.996478873,0.979238754,0.81773399,0.892473118,0.754545455,0.919117647,0.919117647,0.919117647,0.950980392,0.95983702,0.942285714,0.626788036,0.519396552,0.790163934,0.907630522,0.957627119,0.86259542
15,93.80438587,95.09275375,0.000751322,0.000607248,0.869380045,0.894523345,0.857058666,0.92599088,0.942857143,0.909717436,0.939485628,0.940909091,0.938066465,0.95888014,0.95888014,0.95888014,0.990707217,0.995392264,0.986066066,0.967741935,0.957775489,0.977917981,0.46969697,0.62,0.37804878,0.797859691,0.83979975,0.7599094,0.957841484,0.938455184,0.978045631,0.938765553,0.914014252,0.964894684,0.96893834,0.972998138,0.964912281,0.91588785,0.933333333,0.899082569,0.722222222,0.928571429,0.590909091,0.982758621,0.979381443,0.98615917,0.740740741,0.886075949,0.636363636,0.912476723,0.924528302,0.900735294,0.955818654,0.966141273,0.945714286,0.625165563,0.524444444,0.773770492,0.877862595,0.877862595,0.877862595
16,93.88716284,95.06728361,0.000720808,0.000648768,0.8606613,0.903204531,0.845677568,0.921325052,0.92259848,0.920055134,0.946736684,0.940387481,0.953172205,0.947732181,0.936006826,0.959755031,0.988687377,0.985325698,0.992072072,0.955375254,0.922624878,0.990536278,0.32,0.888888889,0.195121951,0.79930192,0.821770335,0.778029445,0.963121784,0.959419052,0.966853207,0.935435435,0.933566434,0.937311936,0.970458246,0.977965307,0.963065559,0.894545455,0.886486486,0.902752294,0.666666667,0.764705882,0.590909091,0.989619377,0.989619377,0.989619377,0.772277228,0.847826087,0.709090909,0.891304348,0.878571429,0.904411765,0.951191827,0.94475761,0.957714286,0.685816876,0.757936508,0.626229508,0.892307692,0.899224806,0.885496183
17,93.94978067,95.00360827,0.000703271,0.000621846,0.87409321,0.890299804,0.871969521,0.915900579,0.905114401,0.926946933,0.957055215,0.971962617,0.942598187,0.957167832,0.956331878,0.958005249,0.99112801,0.995997089,0.986306306,0.971546818,0.956211813,0.987381703,0.553846154,0.75,0.43902439,0.750162232,0.878419453,0.654586636,0.964354322,0.956392887,0.972449419,0.941679236,0.944052419,0.939317954,0.968348624,0.962169553,0.974607572,0.930693069,0.913427562,0.948623853,0.697674419,0.714285714,0.681818182,0.985964912,1,0.972318339,0.791666667,0.926829268,0.690909091,0.912655971,0.885813149,0.941176471,0.949656751,0.950744559,0.948571429,0.596449704,0.466666667,0.826229508,0.897727273,0.890977444,0.904580153
18,94.03998853,95.45358068,0.000694059,0.000600382,0.87278649,0.901284738,0.856473534,0.93402418,0.936288089,0.931771192,0.967399545,0.97108067,0.963746224,0.95067656,0.948606272,0.952755906,0.990668834,0.993000241,0.988348348,0.944527736,0.9,0.993690852,0.483333333,0.763157895,0.353658537,0.8007034,0.829890644,0.773499434,0.958702065,0.938918696,0.979337064,0.948,0.945164506,0.950852558,0.976969139,0.974724265,0.979224377,0.916437098,0.917279412,0.91559633,0.64,0.774193548,0.545454545,0.993079585,0.993079585,0.993079585,0.792079208,0.869565217,0.727272727,0.839694656,0.873015873,0.808823529,0.96,0.966956522,0.953142857,0.69170579,0.661676647,0.724590164,0.922155689,0.966527197,0.881679389
19,94.18962358,95.57668634,0.0006775,0.000573873,0.882929879,0.90157025,0.868520411,0.929313929,0.934494774,0.924190214,0.957251908,0.967592593,0.947129909,0.95460441,0.943589744,0.965879265,0.991614888,0.996000969,0.987267267,0.956972525,0.943762781,0.970557308,0.605263158,0.657142857,0.56097561,0.802209945,0.783171521,0.822197055,0.963388676,0.952842105,0.97417133,0.945972495,0.926852743,0.965897693,0.976829548,0.970816233,0.982917821,0.933830382,0.948863636,0.919266055,0.657894737,0.78125,0.568181818,0.993055556,0.996515679,0.989619377,0.8,0.917647059,0.709090909,0.881801126,0.900383142,0.863970588,0.958864426,0.972385429,0.945714286,0.673333333,0.684745763,0.662295082,0.910536779,0.950207469,0.874045802
20,94.41354676,95.30075986,0.000656918,0.000603661,0.879175816,0.884704376,0.884326703,0.92552823,0.930362117,0.920744314,0.938381589,0.922627737,0.954682779,0.952846975,0.969230769,0.937007874,0.990599012,0.99395332,0.987267267,0.966268812,0.953893443,0.978969506,0.670658683,0.658823529,0.682926829,0.827167311,0.807112069,0.848244621,0.958666955,0.963881636,0.953508394,0.937796653,0.934295669,0.941323972,0.975825198,0.982677903,0.969067405,0.922242315,0.909090909,0.935779817,0.703703704,0.59375,0.863636364,0.993103448,0.989690722,0.996539792,0.666666667,0.93442623,0.518181818,0.886164623,0.846153846,0.930147059,0.955536675,0.947220663,0.964,0.644171779,0.60518732,0.68852459,0.909836066,0.982300885,0.847328244
21,94.35836332,94.86776754,0.00066523,0.00062738,0.87509408,0.88918832,0.870546083,0.907181572,0.892071952,0.922811854,0.954510409,0.97480315,0.935045317,0.959757681,0.949486301,0.970253718,0.991541808,0.997447429,0.985705706,0.95473251,0.934541793,0.975814932,0.578616352,0.597402597,0.56097561,0.697823303,0.802650957,0.617214043,0.962883959,0.954334038,0.971588463,0.950197239,0.934529583,0.966399198,0.973909028,0.974133949,0.973684211,0.903474903,0.953156823,0.858715596,0.746666667,0.903225806,0.636363636,0.979522184,0.966329966,0.993079585,0.824074074,0.839622642,0.809090909,0.900369004,0.903703704,0.897058824,0.953811278,0.946037099,0.961714286,0.635794743,0.51417004,0.832786885,0.876826722,0.967741935,0.801526718
22,94.48677478,95.52999109,0.00064313,0.00055944,0.891362526,0.900157578,0.886158059,0.933473389,0.948754448,0.918676775,0.960486322,0.966360856,0.954682779,0.959507042,0.965456156,0.953630796,0.986606346,0.977932499,0.995435435,0.972609819,0.956300813,0.989484753,0.645962733,0.658227848,0.634146341,0.815897136,0.842995169,0.790486976,0.964477933,0.964685616,0.96427034,0.94622595,0.931067961,0.961885657,0.96461214,0.979533555,0.950138504,0.932481752,0.927404719,0.937614679,0.734693878,0.666666667,0.818181818,0.96969697,0.944262295,0.996539792,0.796208531,0.831683168,0.763636364,0.91773309,0.912727273,0.922794118,0.95186863,0.94332211,0.960571429,0.717757009,0.834782609,0.629508197,0.874226804,0.950672646,0.809160305
23,94.5207352,95.66158679,0.000631986,0.000565742,0.892664957,0.909501521,0.882083642,0.930134086,0.953000723,0.908339076,0.95245283,0.95173454,0.953172205,0.955704698,0.978021978,0.934383202,0.990694603,0.990278445,0.991111111,0.969230769,0.945945946,0.993690852,0.612716763,0.582417582,0.646341463,0.820596206,0.786902287,0.857304643,0.959287532,0.945257,0.973740852,0.949554896,0.936585366,0.962888666,0.971084895,0.973110802,0.969067405,0.923649907,0.937618147,0.910091743,0.775,0.861111111,0.704545455,0.982935154,0.96969697,0.996539792,0.803921569,0.872340426,0.745454545,0.92,0.910071942,0.930147059,0.956422672,0.953435548,0.959428571,0.694779116,0.896373057,0.567213115,0.899803536,0.927125506,0.874045802
24,94.6406559,95.87383793,0.000628138,0.000530876,0.893061055,0.901579751,0.88716086,0.938358577,0.959654179,0.917987595,0.959276018,0.957831325,0.960725076,0.962181179,0.967285588,0.957130359,0.991606787,0.996964546,0.986306306,0.972438898,0.961934156,0.983175605,0.606896552,0.698412698,0.536585366,0.827225131,0.769230769,0.894677237,0.966673834,0.965635739,0.967714163,0.949839387,0.93619094,0.963891675,0.972260749,0.973611111,0.970914127,0.936090226,0.959537572,0.913761468,0.716049383,0.783783784,0.659090909,0.978947368,0.992882562,0.965397924,0.811059908,0.822429907,0.8,0.916058394,0.90942029,0.922794118,0.954065621,0.952706553,0.955428571,0.726351351,0.74912892,0.704918033,0.889719626,0.871794872,0.908396947
25,94.59396423,95.37717027,0.000619407,0.00059308,0.880166301,0.90456685,0.865082026,0.926294138,0.921555252,0.931082012,0.93704246,0.909090909,0.966767372,0.961805556,0.954349699,0.969378828,0.991426156,0.996722108,0.986186186,0.962283384,0.933728981,0.992639327,0.590604027,0.656716418,0.536585366,0.782377919,0.736263736,0.834654587,0.962406015,0.960548885,0.96427034,0.949661908,0.948474237,0.950852558,0.973896974,0.974572353,0.97322253,0.921177588,0.954724409,0.889908257,0.746666667,0.903225806,0.636363636,0.986348123,0.973063973,1,0.754098361,0.945205479,0.627272727,0.882459313,0.868327402,0.897058824,0.959537572,0.970760234,0.948571429,0.702093398,0.689873418,0.714754098,0.852813853,0.985,0.751908397
26,94.73935413,95.51725602,0.000601954,0.00058216,0.881875797,0.897321839,0.873939514,0.920999325,0.902713435,0.940041351,0.96073903,0.979591837,0.942598187,0.951001278,0.926910299,0.976377953,0.989038634,0.986379928,0.991711712,0.96128033,0.944219067,0.978969506,0.546875,0.760869565,0.426829268,0.794359577,0.825396825,0.765571914,0.968569596,0.962192014,0.975032286,0.94747526,0.958911145,0.936308927,0.980835835,0.981062356,0.980609418,0.916666667,0.925233645,0.908256881,0.714285714,0.648148148,0.795454545,0.989726027,0.979661017,1,0.803827751,0.848484848,0.763636364,0.886319846,0.931174089,0.845588235,0.96151637,0.966512702,0.956571429,0.684542587,0.659574468,0.71147541,0.895705521,0.964757709,0.835877863
27,94.72343614,94.87625759,0.000602339,0.000646918,0.871504584,0.887982789,0.858437996,0.922300706,0.900788436,0.94486561,0.963636364,0.96656535,0.960725076,0.952132289,0.947186147,0.957130359,0.982178924,0.971559525,0.993033033,0.965979381,0.947421638,0.985278654,0.576687117,0.580246914,0.573170732,0.772532189,0.842245989,0.713476784,0.961596224,0.958511548,0.964700818,0.948464077,0.960411311,0.936810431,0.972677596,0.959568733,0.986149584,0.939981533,0.946096654,0.933944954,0.772727273,0.772727273,0.772727273,0.833333333,0.976744186,0.726643599,0.771428571,0.81,0.736363636,0.867783985,0.879245283,0.856617647,0.954981121,0.971057295,0.939428571,0.625827815,0.632107023,0.619672131,0.902834008,0.961206897,0.851145038
28,94.89535923,95.6446067,0.000577538,0.000529291,0.895235976,0.902560164,0.89031959,0.919262982,0.894393742,0.94555479,0.948484848,0.951367781,0.945619335,0.964797914,0.958549223,0.971128609,0.991500392,0.995159729,0.987867868,0.96938246,0.956967213,0.98212408,0.693333333,0.764705882,0.634146341,0.786620531,0.801410106,0.772366931,0.966079863,0.96359743,0.968575118,0.947709163,0.941147379,0.954363089,0.976885361,0.988190836,0.965835642,0.925454545,0.917117117,0.933944954,0.75,0.692307692,0.818181818,0.993103448,0.989690722,0.996539792,0.822966507,0.868686869,0.781818182,0.904315197,0.923371648,0.886029412,0.956448441,0.940851299,0.972571429,0.694017094,0.725,0.66557377,0.903885481,0.973568282,0.84351145
29,94.81682595,95.3644352,0.000595963,0.000595832,0.887865908,0.891149055,0.889055846,0.921715453,0.910558171,0.933149552,0.939325843,0.931649331,0.947129909,0.96270294,0.965669014,0.959755031,0.991722555,0.99769025,0.985825826,0.955114823,0.948186528,0.96214511,0.650306748,0.654320988,0.646341463,0.788221971,0.788221971,0.788221971,0.963593783,0.953243471,0.97417133,0.942604298,0.950535441,0.934804413,0.975945017,0.968622101,0.983379501,0.897695853,0.901851852,0.893577982,0.752688172,0.714285714,0.795454545,0.991334489,0.993055556,0.989619377,0.804123711,0.928571429,0.709090909,0.922509225,0.925925926,0.919117647,0.964835804,0.981667652,0.948571429,0.687757909,0.592417062,0.819672131,0.869387755,0.934210526,0.812977099
30,95.00254412,95.93326824,0.000560867,0.000544194,0.899245205,0.913999322,0.88969243,0.932163348,0.913359788,0.951757409,0.965883245,0.9695586,0.96223565,0.965637234,0.960207612,0.971128609,0.992275196,0.997089145,0.987507508,0.972467532,0.960985626,0.984227129,0.71942446,0.877192982,0.609756098,0.824929178,0.825396825,0.824462061,0.960305668,0.947236181,0.973740852,0.95247725,0.960244648,0.944834504,0.978674084,0.982774674,0.974607572,0.907342657,0.866444073,0.952293578,0.747252747,0.723404255,0.772727273,0.993079585,0.993079585,0.993079585,0.816326531,0.930232558,0.727272727,0.896925859,0.882562278,0.911764706,0.95800227,0.951521984,0.964571429,0.68641115,0.732342007,0.645901639,0.9168357,0.978354978,0.86259542
31,95.02801675,95.3644352,0.000570345,0.000584328,0.868727179,0.880233231,0.874403665,0.930916553,0.923964698,0.937973811,0.958364875,0.960546282,0.956193353,0.957428323,0.950819672,0.964129484,0.990392698,0.990154881,0.990630631,0.961793174,0.932806324,0.992639327,0.53030303,0.7,0.426829268,0.798519302,0.749007937,0.855039638,0.962510898,0.974834437,0.95049505,0.941981252,0.95186892,0.932296891,0.973554879,0.987185572,0.960295476,0.927853881,0.923636364,0.932110092,0.615384615,0.465116279,0.909090909,0.987868284,0.989583333,0.98615917,0.698924731,0.855263158,0.590909091,0.893542757,0.850498339,0.941176471,0.957610242,0.953541076,0.961714286,0.642447419,0.770642202,0.550819672,0.907692308,0.914728682,0.900763359
32,94.98132052,95.3092499,0.000560593,0.00059842,0.869213714,0.88762,0.865840773,0.931313131,0.910467413,0.953135768,0.953822861,0.95599393,0.951661631,0.957264957,0.935672515,0.979877515,0.99050823,0.990746305,0.99027027,0.945054945,0.900095147,0.994742376,0.455284553,0.682926829,0.341463415,0.808278867,0.778593914,0.840317101,0.965073923,0.960750853,0.969436074,0.943711968,0.954358974,0.9332999,0.970730583,0.96916705,0.972299169,0.90029615,0.974358974,0.836697248,0.633333333,0.5,0.863636364,0.975177305,1,0.951557093,0.805970149,0.89010989,0.736363636,0.893457944,0.908745247,0.878676471,0.954149739,0.969339623,0.939428571,0.689908257,0.783333333,0.616393443,0.87250996,0.9125,0.835877863
33,95.03650493,95.72950715,0.000563958,0.00054315,0.896481044,0.899733462,0.897967328,0.931497418,0.930536451,0.932460372,0.959939531,0.960665658,0.959214502,0.961980548,0.972296693,0.951881015,0.991971023,0.997087379,0.986906907,0.968179447,0.960662526,0.975814932,0.703030303,0.698795181,0.707317073,0.789694428,0.838422392,0.746319366,0.964800679,0.950689511,0.979337064,0.950868486,0.941060904,0.960882648,0.982634869,0.985601486,0.979686057,0.934579439,0.952380952,0.917431193,0.776470588,0.804878049,0.75,0.989690722,0.982935154,0.996539792,0.835680751,0.86407767,0.809090909,0.908411215,0.923954373,0.893382353,0.965199885,0.971627099,0.958857143,0.641221374,0.523908524,0.826229508,0.880808081,0.935622318,0.832061069
34,95.10866946,95.38141529,0.000550499,0.000600665,0.887302899,0.899928286,0.879094459,0.904342148,0.859181141,0.954514128,0.96803653,0.975460123,0.960725076,0.961811723,0.976555455,0.947506562,0.991725554,0.997327502,0.986186186,0.952879581,0.948905109,0.956887487,0.651162791,0.622222222,0.682926829,0.782884311,0.733663366,0.839184598,0.964041096,0.958705832,0.969436074,0.939386254,0.950230888,0.928786359,0.974112257,0.966803092,0.981532779,0.944751381,0.948243993,0.941284404,0.64,0.774193548,0.545454545,0.986348123,0.973063973,1,0.829268293,0.894736842,0.772727273,0.870775348,0.948051948,0.805147059,0.958333333,0.984921592,0.933142857,0.740740741,0.761245675,0.721311475,0.910852713,0.92519685,0.896946565
